id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,clan,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3
41,4,2,3,2,1,0,0,0,0,0,0,0,0,0,1.741,0.154,-0.226,-0.441,0,0,0,1,1,0,268111,0.4113560236,0.00595055187096774,0,0.0016133415,0.124333333333333,0.126,0.133,0.166333333333333,1.37118674533333,0.092233554,0,0.0242001225,0.7,0.935483870967742,1,0.933333333333333,1,0,0,2,2,40.880545562944,38.5365253430908,34.9318721567943,37.0945345312294,0.6,0.57,0.55,0.76,0.88,1.01,0.99,0.99,0.84,1.01,1.04,0.83,0.67,0.68,0.66,0.81
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.084,-0.286,-2.054,-0.879,0,0,0,1,0,0,116192,2.40453403266667,1.78770762741936,0.377567792032258,0.410209211666667,0.216,0.169666666666667,0.168333333333333,0.196333333333333,2.77446234538462,2.40951897608696,0.97538346275,1.02552302916667,0.133333333333333,0.258064516129032,0.612903225806452,0.6,3,0,0,0,0,35.4093080961324,33.3830732637193,32.3286440799585,35.702986989692,0.84,0.62,0.2,0.25,1.23,1.04,1.07,0.96,0.36,0.34,0.41,0.43,0.94,0.72,0.42,0.43
43,7,2,1,0,1,2,0,0,2,0,1,0,2,0,0.292,-0.389,-1.362,-0.888,0,0,0,0,0,0,1042310,1.71900161053333,0.892981621741936,0.134298234354839,0.374392710733333,0.149,0.141666666666667,0.152666666666667,0.164,1.77827752813793,1.31821096542857,0.378476842272727,0.802270094428571,0.0333333333333333,0.32258064516129,0.645161290322581,0.533333333333333,3,0,0,1,2,37.3459781739158,34.4704557940091,31.7148035883894,34.5784064021548,0.71,0.42,0.5,0.68,1.23,1.21,1.24,0.97,0.36,0.37,0.4,0.41,0.84,0.62,0.68,0.75
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184,0.624,0.113,-0.392,0,0,0,0,0,0,125221,0.0124661826666667,0.0285791478387097,0.0567368403548387,0.00108553046666667,0.130333333333333,0.127,0.129,0.152,0.18699274,0.0805412348181818,0.125631575071429,0.0065131828,0.933333333333333,0.645161290322581,0.548387096774194,0.833333333333333,0,0,0,0,0,40.4232555550217,38.6210659627827,35.1614596799144,38.3462050742395,0.82,0.82,0.59,0.34,0.75,0.85,0.75,0.52,0.36,0.36,0.38,0.41,0.81,0.83,0.63,0.39
45,5,7,2,0,0,0,3,7,0,0,0,0,0,0,0.945,0.42,-0.239,-0.705,0,0,0,0,0,0,63484,0.3200181533,0.0885895601290323,0,0.00437122646666667,0.125666666666667,0.123,0.128333333333333,0.133,0.417414982565217,0.211252028,0,0.0187338277142857,0.233333333333333,0.580645161290323,1,0.766666666666667,1,0,0,1,7,41.3921263309679,40.2713384822733,37.0324718477011,40.2728866735629,1.47,1.26,1.2,1.37,1.06,1.02,1.05,1.06,0.49,0.53,0.61,0.61,1.36,1.2,1.16,1.29
46,4,20,3,20,0,0,0,0,0,0,0,0,1,0,1.547,-0.263,-1.159,-0.671,0,0,0,1,1,0,159962,0.122803846666667,0.148457668064516,0.354618210645161,0.127067230266667,0.217333333333333,0.219,0.269,0.343666666666667,3.6841154,0.920437542,1.57045207571429,0.423557434222222,0.966666666666667,0.838709677419355,0.774193548387097,0.7,0,0,0,3,20,37.485635258536,35.077036360067,33.2126341129671,34.5798476379991,0.92,0.71,0.63,0.78,1.07,0.83,0.55,0.53,0.84,0.95,0.92,0.72,0.96,0.74,0.61,0.71
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.204,-0.54,-0.608,0,0,0,0,0,0,106408,0.669305489666667,1.03184231741935,0.990822662580645,1.93882286133333,0.366,0.438666666666667,0.586333333333333,0.524333333333333,5.0197911725,3.55412353777778,4.38792893428571,5.28769871272727,0.866666666666667,0.709677419354839,0.774193548387097,0.633333333333333,0,0,0,0,0,37.9730511216837,34.0758179820352,30.1550750772332,28.7436770584231,1.06,0.88,0.56,0.79,0.55,0.79,1.01,0.8,0.77,0.95,0.95,0.65,0.93,0.86,0.68,0.8
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32,0.71,-0.228,-0.391,0,0,0,0,0,0,88996,0,0.00080523564516129,0.00188633261290323,0.0031318699,0.14,0.138,0.142666666666667,0.172,0,0.00832076833333333,0.0292381555,0.0469780485,1,0.903225806451613,0.935483870967742,0.933333333333333,1,0,0,0,0,40.544413961959,39.4641034756264,36.2867566318576,38.7737938430078,0.36,0.33,0.32,0.32,0.53,0.49,0.53,0.54,0.49,0.48,0.51,0.54,0.4,0.37,0.37,0.37
49,4,8,0,0,0,0,4,8,0,0,0,0,0,0,0.421,0.381,-0.218,-0.823,0,0,0,0,0,0,189990,0.659219658,1.09663965445161,1.23926563,1.419354429,0.411666666666667,0.444333333333333,0.571666666666667,0.633666666666667,3.955317948,3.09052993527273,3.49247586636364,4.258063287,0.833333333333333,0.645161290322581,0.645161290322581,0.666666666666667,0,0,0,3,8,37.5632947798178,33.0635915988598,31.1493946305366,29.2120862947969,1.02,0.85,0.56,0.57,0.53,0.55,0.79,0.95,0.77,0.95,0.99,0.82,0.9,0.78,0.62,0.66
50,12,23,5,11,1,1,5,11,0,0,0,0,1,0,-0.252,-0.717,-1.522,-1.06,0,0,0,0,0,0,194639,0.0199449,0.0489008217419355,0.390294517645161,0.163559325833333,0.223333333333333,0.221333333333333,0.278333333333333,0.354333333333333,0.598347,0.1515925474,1.72844714957143,0.446070888636364,0.966666666666667,0.67741935483871,0.774193548387097,0.633333333333333,0,21,2,4,23,37.1786827853945,35.6801678139431,32.3454771613025,35.123922889738,0.92,0.73,0.68,0.85,1.07,0.95,0.74,0.49,0.42,0.37,0.36,0.37,0.96,0.79,0.7,0.76
