id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.519,1.225,-1.046,-0.508,1,1,0,0,0,0,91015,0.384845791666667,4.05386094580645,2.593187094,0.348378750322581,0.386,0.418333333333333,0.290666666666667,0.266,1.92422895833333,8.97640638,7.07232843818182,3.59991375333333,0.8,0.548387096774194,0.633333333333333,0.903225806451613,0,0,0,0,34.0656709589851,33.9037923978571,40.5491161542051,43.7778043309518,1.65,1.76,1.24,1.12,0.48,0.52,0.56,0.58,0.54,0.57,0.64,0.98,1.36,1.45,1.07,0.98,Hawiye
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.146,1.391,-1.128,-0.214,1,0,0,0,0,0,26973,0.832338507333333,6.85540717290323,1.670323257,0.207951940645161,0.646333333333333,0.568,0.357666666666667,0.332666666666667,4.16169253666667,8.85490093166667,4.1758081425,2.14883672,0.8,0.225806451612903,0.6,0.903225806451613,0,0,0,0,28.3775820141636,30.4419548553813,39.413269564201,40.1008214190169,1.46,1.64,0.93,0.69,0.56,0.54,0.55,0.56,0.75,0.52,0.52,0.53,1.24,1.36,0.84,0.66,Reewin
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.574,-1.714,-0.783,0,0,0,1,1,1,87320,1.26772222066667,3.56595003483871,0.824408094333334,0.0487676621612903,0.252333333333333,0.213,0.172,0.169666666666667,4.7539583275,5.527222554,2.06102023583333,0.2519662545,0.733333333333333,0.354838709677419,0.6,0.806451612903226,0,0,0,0,32.5062885513288,37.5489666507087,39.2597573814492,38.7780794553534,1.27,0.88,0.54,1.01,0.81,0.55,0.61,0.63,0.89,0.63,0.72,1.11,1.16,0.8,0.56,0.92,Dir
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.978,1.355,-1.519,-0.665,0,0,0,1,1,1,84588,0.488206623466667,1.19119814216129,0.171782212,0.0616387619032258,0.181333333333333,0.136333333333333,0.120333333333333,0.114666666666667,0.976413246933333,3.35701294609091,0.468496941818182,0.212311291,0.5,0.645161290322581,0.633333333333333,0.709677419354839,0,0,0,0,31.2852154642982,41.483921547001,44.2155740270741,44.3400760496611,0.68,0.43,0.18,0.69,1.13,0.99,0.83,0.59,0.79,0.45,0.45,0.46,0.79,0.57,0.35,0.67,Daarood
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224,1.828,-1.472,-0.73,0,0,0,0,0,0,84756,0.156942506266667,4.26082230383871,0.968933864333333,0.0203565819354839,0.488666666666667,0.485666666666667,0.302666666666667,0.255666666666667,0.362175014461538,5.50356214245833,3.63350199125,0.31552702,0.566666666666667,0.225806451612903,0.733333333333333,0.935483870967742,0,0,0,0,32.8912224285067,32.1648791836002,41.5962342602614,41.2784106894597,1.32,1.06,0.38,0.57,0.92,0.8,0.6,0.69,0.97,0.66,1.03,1.35,1.22,0.99,0.44,0.6,Reewin
69,1,2,1,2,0,0,0,0,0,0,0,0,0,0,-0.512,1.52,-1.287,-0.819,0,0,0,0,0,0,101084,0.1430412949,3.46883837477419,2.05301163866667,0.0569480838709677,0.288333333333333,0.360666666666667,0.239333333333333,0.205666666666667,0.4291238847,5.97411053433333,5.59912265090909,0.8826953,0.666666666666667,0.419354838709677,0.633333333333333,0.935483870967742,2,1,1,2,33.3614203572287,32.8938449844622,41.9748163909136,45.6914356061124,1.71,1.39,0.54,0.64,0.91,0.72,0.47,0.52,0.53,0.52,0.56,0.63,1.51,1.22,0.52,0.61,Reewin
70,9,24,6,23,1,1,2,0,0,0,0,0,0,0,-0.825,0.099,-1.247,-0.321,0,0,0,0,0,0,130035,0.3497115216,2.39278781870968,0.993402757833333,0.170610676935484,0.344666666666667,0.321333333333333,0.241333333333333,0.216,0.807026588307692,3.2250618426087,3.31134252611111,1.762976995,0.566666666666667,0.258064516129032,0.7,0.903225806451613,10,2,5,24,33.3114268698371,35.7044335048057,44.0651497672836,42.4997556766495,1.15,1.15,0.71,0.91,0.55,0.56,0.54,0.57,0.54,0.55,0.61,0.63,1,1,0.67,0.82,Hawiye
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,1.607,-1.334,0.857,0,0,0,0,0,0,59776,0.0971388786666667,3.39702247516129,0.532630572733333,0.636501916709677,0.256,0.257666666666667,0.204,0.193,0.242847196666667,5.0146522252381,1.5978917182,2.46644492725,0.6,0.32258064516129,0.666666666666667,0.741935483870968,0,0,0,0,34.0190377953411,36.0431816937597,41.0860917658346,39.8463421904508,2,1.95,1.14,1.26,1.05,0.87,0.59,0.64,0.96,0.97,1.19,1.42,1.77,1.68,1,1.1,Hawiye
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.793,1.172,-0.726,-0.355,0,0,0,1,1,1,44152,0.9810613327,2.18516599364516,0.396232202566667,0.0205519298709677,0.199333333333333,0.1333,0.121,0.117,2.9431839981,4.5160097202,1.08063327972727,0.0637109826,0.666666666666667,0.516129032258065,0.633333333333333,0.67741935483871,0,0,0,0,31.520228294178,43.5846816854862,45.0886584332854,45.99392195049,1.33,0.98,0.26,0.33,1.07,0.93,0.8,0.56,0.82,0.46,0.51,0.56,1.27,0.96,0.39,0.39,Daarood
73,4,10,4,10,0,0,0,0,0,0,0,0,0,0,-0.325,1.509,-1.325,-0.666,0,0,0,0,0,0,125281,0.00687814346666667,3.59440528129032,1.19167470866667,0.00551853396774194,0.366666666666667,0.390666666666667,0.251666666666667,0.214666666666667,0.025793038,4.4570625488,3.25002193272727,0.0855372765,0.733333333333333,0.193548387096774,0.633333333333333,0.935483870967742,7,2,4,10,34.1309678601152,33.4219219610853,43.040235173913,44.6772332903177,1.53,1.28,0.41,0.53,0.95,0.78,0.57,0.91,0.96,0.64,0.72,1.17,1.38,1.15,0.45,0.62,Reewin
