id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0.771,-0.272,-0.398,0,0,0,1,0,0,88987,0.176117946666667,0.00296739687096774,0,0,0.173,0.164666666666667,0.173333333333333,0.202,2.6417692,0.0459946515,0,0,0.933333333333333,0.935483870967742,1,1,0,0,0,0,41.3585793611213,37.467268692752,36.0779988681341,36.196280820045,1.76,1.32,2.1,2.45,1.22,1.29,1.3,1.57,1.23,1.15,1.19,1.25,1.63,1.31,1.9,2.23,13,79595,41754,37821,Daarood
40,3,10,0,0,0,0,2,10,1,0,0,0,0,0,-0.209,2.361,0.076,-0.613,0,0,0,0,0,0,86032,0.0275085105666667,0.225531559,0.242486780580645,0.0391233842333333,0.241666666666667,0.240666666666667,0.258666666666667,0.354,0.1650510634,0.635588939,0.835232244222222,0.195616921166667,0.833333333333333,0.645161290322581,0.709677419354839,0.8,0,0,1,10,39.6548597224712,35.3179494437338,33.7437939598016,33.2127406902902,1.73,2.15,2.31,2.33,1.5,1.53,1.52,1.52,1.78,1.68,1.69,1.36,1.67,1.99,2.11,2.13,7,76952,18422,49530,Daarood
41,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0.633,1.461,-0.226,-0.465,0,0,0,0,0,0,275813,0.255012516033333,0.0150762738064516,0,6.56638666666667e-05,0.122666666666667,0.116333333333333,0.121333333333333,0.140666666666667,1.092910783,0.0934728976,0,0.001969916,0.766666666666667,0.838709677419355,1,0.966666666666667,0,0,1,1,41.8360265021939,36.0086195414879,34.6305405503299,34.565959541251,2.08,1.46,1.97,2.36,1.26,1.42,1.34,1.36,0.51,0.5,0.53,0.54,1.87,1.45,1.81,2.11,14,246702,99581,137626,Daarood
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.318,0.282,-0.912,-0.318,1,0,0,0,0,0,119530,0.968732638666667,2.22830972096774,0.897758830903226,0.595324970333333,0.266666666666667,0.237666666666667,0.228,0.260666666666667,2.07585565428571,3.4538800675,2.53004761436364,1.19064994066667,0.533333333333333,0.354838709677419,0.645161290322581,0.5,0,0,0,0,38.0196254121084,32.7297572833364,30.07414180746,32.7183086834065,1.98,2,3.06,3.22,1.25,1.56,1.61,1.5,1.59,1.58,1.63,1.26,1.8,1.89,2.69,2.79,18,106914,36917,69997,Dir
43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.811,-0.219,-0.773,-0.624,0,0,0,0,0,0,1072253,1.07238841286667,1.03387555103226,0.372997437903226,0.458505771766667,0.178,0.157,0.169,0.214333333333333,1.69324486242105,1.68684958326316,0.963576714583333,0.8596983220625,0.366666666666667,0.387096774193548,0.612903225806452,0.466666666666667,0,0,0,0,40.3192179742603,34.4521934305787,31.5779361212718,32.0230606443911,2.03,1.94,1.96,2.48,1.21,1.5,1.55,1.52,1.29,1.27,1.49,1.25,1.82,1.83,1.86,2.24,18,959081,691852,223229,Dir
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0.907,-0.232,-0.045,0,0,0,0,0,0,128818,0.104122919833333,0.035275119483871,0.0411748049354839,0.00995691636666666,0.159666666666667,0.160666666666667,0.177333333333333,0.222333333333333,1.04122919833333,0.121503189333333,0.116038086636364,0.0597414982,0.9,0.709677419354839,0.645161290322581,0.833333333333333,0,0,0,0,40.5445508705188,36.0938437590979,35.2122115909366,35.6327586404058,2.14,1.46,2.1,2.46,1.51,1.71,1.66,1.76,1.47,1.36,1.36,1.14,1.98,1.52,1.99,2.28,13,115222,13943,89599,Hawiye
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.715,0.342,-0.239,-0.009,0,0,0,0,0,0,65308,0.0738943060666667,0.0512318673225807,0,0.0489335483333333,0.128666666666667,0.122,0.133,0.140666666666667,0.147788612133333,0.144380717,0,0.244667741666667,0.5,0.645161290322581,1,0.8,0,0,0,0,42.5141678616757,38.143908941387,36.1163518870039,38.0890775261424,0.99,1.51,1.85,1.98,1.22,1.4,1.33,1.14,0.74,0.85,0.87,0.66,1.05,1.49,1.72,1.77,4,58415,3616,54799,Daarood
46,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.848,0.506,-1.132,-1.048,0,0,0,0,0,0,164557,0.0852837539666667,0.246334717935484,0.357071034354839,0.0833605833333333,0.274,0.279666666666667,0.347,0.462,0.63962815475,0.954547032,0.922433505416667,0.833605833333333,0.866666666666667,0.741935483870968,0.612903225806452,0.9,0,0,1,1,38.7601537862657,33.2459500448913,33.8331416534366,30.1468130788966,2.05,2.09,2.22,2.15,1.33,1.39,1.31,1.6,2.08,1.89,1.8,1.42,1.87,1.92,1.99,2.01,8,147189,23556,114503,Hawiye
47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.416,0.094,-0.479,-0.487,1,0,0,0,0,0,109464,0.320305628,0.984354783870968,1.05863363354839,2.11797168466667,0.448666666666667,0.454,0.577666666666667,0.618666666666667,3.20305628,5.08583305,3.281764264,6.353915054,0.9,0.806451612903226,0.67741935483871,0.666666666666667,0,0,0,0,35.493038979489,31.0901730445495,30.2318485440491,28.4768130748011,1.19,1.26,1.86,2.23,1.23,1.23,1.22,1.47,1.33,1.33,1.6,1.27,1.2,1.26,1.7,2.04,9,97911,10155,80756,Hawiye
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231,0.398,-0.278,-0.442,0,0,0,0,0,0,91553,0.0143890978666667,0.000314813774193548,0.000212747258064516,0.000122002566666667,0.156,0.154666666666667,0.173666666666667,0.202666666666667,0.215836468,0.0048796135,0.006595165,0.003660077,0.933333333333333,0.935483870967742,0.967741935483871,0.966666666666667,0,0,0,0,40.6141991371906,36.4820746402534,35.5477796155621,36.3707328745965,1.88,1.71,2.37,2.94,1.45,1.65,1.6,1.66,1.38,1.3,1.31,1.1,1.77,1.69,2.18,2.62,13,81890,25028,56772,Daarood
49,2,18,0,0,0,0,2,18,0,0,0,0,0,0,-1.765,0.041,0.203,-0.694,1,1,0,0,0,0,195448,0.272075120333333,0.970350648709677,1.54339049583871,1.573526365,0.44,0.479666666666667,0.628,0.657666666666667,2.72075120333333,4.29726715857143,3.1896736914,5.24508788333333,0.9,0.774193548387097,0.516129032258065,0.7,0,0,1,18,35.8147348033641,30.0921356908789,29.5200416030649,27.7532332964663,1.22,1.28,1.93,2.37,1.17,1.17,1.12,1.28,1.13,1.13,1.29,1.01,1.21,1.26,1.73,2.1,11,174819,20761,146058,Hawiye
50,5,13,2,3,2,0,1,10,0,0,0,0,0,0,-0.463,0.509,-1.828,-1.166,0,0,0,0,0,0,200230,0.00703995413333333,0.228902892774194,0.333658500806452,0.152181200533333,0.313333333333333,0.308333333333333,0.372333333333333,0.521666666666667,0.0703995413333333,0.7095989676,1.72390225416667,0.9130872032,0.9,0.67741935483871,0.806451612903226,0.833333333333333,12,3,3,13,38.3718202095426,32.393118001846,31.5274820640111,27.9513375887385,1.94,1.97,2.11,2.06,1.46,1.66,1.56,1.61,2.2,1.9,1.78,1.39,1.82,1.89,1.97,1.95,12,179097,63090,89637,Hawiye
